icd_version,icd_code,full_code,comorbid_type,description
DIAG-ICD9,200,200.52,malig_myelolymph,"Primary central nervous system lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,200.53,malig_myelolymph,"Primary central nervous system lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,200.54,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,200.55,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,200.56,malig_myelolymph,"Primary central nervous system lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,200.57,malig_myelolymph,"Primary central nervous system lymphoma, spleen"
DIAG-ICD9,200,200.58,malig_myelolymph,"Primary central nervous system lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,200.6,malig_myelolymph,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,200.61,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,200.62,malig_myelolymph,"Anaplastic large cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,200.63,malig_myelolymph,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,200.64,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,200.65,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,200.66,malig_myelolymph,"Anaplastic large cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,200.67,malig_myelolymph,"Anaplastic large cell lymphoma, spleen"
DIAG-ICD9,200,200.68,malig_myelolymph,"Anaplastic large cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,200.7,malig_myelolymph,"Large cell lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,200.71,malig_myelolymph,"Large cell lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,200.72,malig_myelolymph,"Large cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,200,200.73,malig_myelolymph,"Large cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,200.74,malig_myelolymph,"Large cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,200.75,malig_myelolymph,"Large cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,200.76,malig_myelolymph,"Large cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,200,200.77,malig_myelolymph,"Large cell lymphoma, spleen"
DIAG-ICD9,200,200.78,malig_myelolymph,"Large cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,200,200.8,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,200,200.81,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck"
DIAG-ICD9,200,200.82,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma,intrathoracic lymph nodes"
DIAG-ICD9,200,200.83,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes"
DIAG-ICD9,200,200.84,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,200,200.85,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,200,200.86,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes"
DIAG-ICD9,200,200.87,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, spleen"
DIAG-ICD9,200,200.88,malig_myelolymph,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites"
DIAG-ICD9,201,201,malig_myelolymph,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.01,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.02,malig_myelolymph,"Hodgkin's paragranuloma, intrathoracic lymph nodes"
DIAG-ICD9,201,201.03,malig_myelolymph,"Hodgkin's paragranuloma, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.04,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.05,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.06,malig_myelolymph,"Hodgkin's paragranuloma, intrapelvic lymph nodes"
DIAG-ICD9,201,201.07,malig_myelolymph,"Hodgkin's paragranuloma, spleen"
DIAG-ICD9,201,201.08,malig_myelolymph,"Hodgkin's paragranuloma, lymph nodes of multiple sites"
DIAG-ICD9,201,201.1,malig_myelolymph,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.11,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.12,malig_myelolymph,"Hodgkin's granuloma, intrathoracic lymph nodes"
DIAG-ICD9,201,201.13,malig_myelolymph,"Hodgkin's granuloma, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.14,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.15,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.16,malig_myelolymph,"Hodgkin's granuloma, intrapelvic lymph nodes"
DIAG-ICD9,201,201.17,malig_myelolymph,"Hodgkin's granuloma, spleen"
DIAG-ICD9,201,201.18,malig_myelolymph,"Hodgkin's granuloma, lymph nodes of multiple sites"
DIAG-ICD9,201,201.2,malig_myelolymph,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.21,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.22,malig_myelolymph,"Hodgkin's sarcoma, intrathoracic lymph nodes"
DIAG-ICD9,201,201.23,malig_myelolymph,"Hodgkin's sarcoma, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.24,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.25,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.26,malig_myelolymph,"Hodgkin's sarcoma, intrapelvic lymph nodes"
DIAG-ICD9,201,201.27,malig_myelolymph,"Hodgkin's sarcoma, spleen"
DIAG-ICD9,201,201.28,malig_myelolymph,"Hodgkin's sarcoma, lymph nodes of multiple sites"
DIAG-ICD9,201,201.4,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.41,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.42,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes"
DIAG-ICD9,201,201.43,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.44,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.45,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.46,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes"
DIAG-ICD9,201,201.47,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen"
DIAG-ICD9,201,201.48,malig_myelolymph,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites"
DIAG-ICD9,201,201.5,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.51,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.52,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes"
DIAG-ICD9,201,201.53,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.54,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.55,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.56,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes"
DIAG-ICD9,201,201.57,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, spleen"
DIAG-ICD9,201,201.58,malig_myelolymph,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites"
DIAG-ICD9,201,201.6,malig_myelolymph,"Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.61,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.62,malig_myelolymph,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes"
DIAG-ICD9,201,201.63,malig_myelolymph,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.64,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.65,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.66,malig_myelolymph,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes"
DIAG-ICD9,201,201.67,malig_myelolymph,"Hodgkin's disease, mixed cellularity, spleen"
DIAG-ICD9,201,201.68,malig_myelolymph,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites"
DIAG-ICD9,201,201.7,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.71,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.72,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes"
DIAG-ICD9,201,201.73,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.74,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.75,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.76,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes"
DIAG-ICD9,201,201.77,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, spleen"
DIAG-ICD9,201,201.78,malig_myelolymph,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites"
DIAG-ICD9,201,201.9,malig_myelolymph,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,201,201.91,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck"
DIAG-ICD9,201,201.92,malig_myelolymph,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes"
DIAG-ICD9,201,201.93,malig_myelolymph,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes"
DIAG-ICD9,201,201.94,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb"
DIAG-ICD9,201,201.95,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,201,201.96,malig_myelolymph,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes"
DIAG-ICD9,201,201.97,malig_myelolymph,"Hodgkin's disease, unspecified type, spleen"
DIAG-ICD9,201,201.98,malig_myelolymph,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites"
DIAG-ICD9,202,202,malig_myelolymph,"Nodular lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.01,malig_myelolymph,"Nodular lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.02,malig_myelolymph,"Nodular lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,202,202.03,malig_myelolymph,"Nodular lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.04,malig_myelolymph,"Nodular lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.05,malig_myelolymph,"Nodular lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.06,malig_myelolymph,"Nodular lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,202,202.07,malig_myelolymph,"Nodular lymphoma, spleen"
DIAG-ICD9,202,202.08,malig_myelolymph,"Nodular lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,202,202.1,malig_myelolymph,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.11,malig_myelolymph,"Mycosis fungoides, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.12,malig_myelolymph,"Mycosis fungoides, intrathoracic lymph nodes"
DIAG-ICD9,202,202.13,malig_myelolymph,"Mycosis fungoides, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.14,malig_myelolymph,"Mycosis fungoides, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.15,malig_myelolymph,"Mycosis fungoides, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.16,malig_myelolymph,"Mycosis fungoides, intrapelvic lymph nodes"
DIAG-ICD9,202,202.17,malig_myelolymph,"Mycosis fungoides, spleen"
DIAG-ICD9,202,202.18,malig_myelolymph,"Mycosis fungoides, lymph nodes of multiple sites"
DIAG-ICD9,202,202.2,malig_myelolymph,"Sezary's disease, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.21,malig_myelolymph,"Sezary's disease, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.22,malig_myelolymph,"Sezary's disease, intrathoracic lymph nodes"
DIAG-ICD9,202,202.23,malig_myelolymph,"Sezary's disease, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.24,malig_myelolymph,"Sezary's disease, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.25,malig_myelolymph,"Sezary's disease, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.26,malig_myelolymph,"Sezary's disease, intrapelvic lymph nodes"
DIAG-ICD9,202,202.27,malig_myelolymph,"Sezary's disease, spleen"
DIAG-ICD9,202,202.28,malig_myelolymph,"Sezary's disease, lymph nodes of multiple sites"
DIAG-ICD9,202,202.3,malig_myelolymph,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.31,malig_myelolymph,"Malignant histiocytosis, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.32,malig_myelolymph,"Malignant histiocytosis, intrathoracic lymph nodes"
DIAG-ICD9,202,202.33,malig_myelolymph,"Malignant histiocytosis, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.34,malig_myelolymph,"Malignant histiocytosis, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.35,malig_myelolymph,"Malignant histiocytosis, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.36,malig_myelolymph,"Malignant histiocytosis, intrapelvic lymph nodes"
DIAG-ICD9,202,202.37,malig_myelolymph,"Malignant histiocytosis, spleen"
DIAG-ICD9,202,202.38,malig_myelolymph,"Malignant histiocytosis, lymph nodes of multiple sites"
DIAG-ICD9,202,202.4,malig_myelolymph,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.41,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.42,malig_myelolymph,"Leukemic reticuloendotheliosis, intrathoracic lymph nodes"
DIAG-ICD9,202,202.43,malig_myelolymph,"Leukemic reticuloendotheliosis, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.44,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of axilla and upper arm"
DIAG-ICD9,202,202.45,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.46,malig_myelolymph,"Leukemic reticuloendotheliosis, intrapelvic lymph nodes"
DIAG-ICD9,202,202.47,malig_myelolymph,"Leukemic reticuloendotheliosis, spleen"
DIAG-ICD9,202,202.48,malig_myelolymph,"Leukemic reticuloendotheliosis, lymph nodes of multiple sites"
DIAG-ICD9,202,202.5,malig_myelolymph,"Letterer-siwe disease, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.51,malig_myelolymph,"Letterer-siwe disease, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.52,malig_myelolymph,"Letterer-siwe disease, intrathoracic lymph nodes"
DIAG-ICD9,202,202.53,malig_myelolymph,"Letterer-siwe disease, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.54,malig_myelolymph,"Letterer-siwe disease, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.55,malig_myelolymph,"Letterer-siwe disease, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.56,malig_myelolymph,"Letterer-siwe disease, intrapelvic lymph nodes"
DIAG-ICD9,202,202.57,malig_myelolymph,"Letterer-siwe disease, spleen"
DIAG-ICD9,202,202.58,malig_myelolymph,"Letterer-siwe disease, lymph nodes of multiple sites"
DIAG-ICD9,202,202.6,malig_myelolymph,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.61,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.62,malig_myelolymph,"Malignant mast cell tumors, intrathoracic lymph nodes"
DIAG-ICD9,202,202.63,malig_myelolymph,"Malignant mast cell tumors, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.64,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.65,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.66,malig_myelolymph,"Malignant mast cell tumors, intrapelvic lymph nodes"
DIAG-ICD9,202,202.67,malig_myelolymph,"Malignant mast cell tumors, spleen"
DIAG-ICD9,202,202.68,malig_myelolymph,"Malignant mast cell tumors, lymph nodes of multiple sites"
DIAG-ICD9,202,202.7,malig_myelolymph,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.71,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.72,malig_myelolymph,"Peripheral T cell lymphoma, intrathoracic lymph nodes"
DIAG-ICD9,202,202.73,malig_myelolymph,"Peripheral T cell lymphoma, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.74,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.75,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.76,malig_myelolymph,"Peripheral T cell lymphoma, intrapelvic lymph nodes"
DIAG-ICD9,202,202.77,malig_myelolymph,"Peripheral T cell lymphoma, spleen"
DIAG-ICD9,202,202.78,malig_myelolymph,"Peripheral T cell lymphoma, lymph nodes of multiple sites"
DIAG-ICD9,202,202.8,malig_myelolymph,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.81,malig_myelolymph,"Other malignant lymphomas, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.82,malig_myelolymph,"Other malignant lymphomas, intrathoracic lymph nodes"
DIAG-ICD9,202,202.83,malig_myelolymph,"Other malignant lymphomas, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.84,malig_myelolymph,"Other malignant lymphomas, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.85,malig_myelolymph,"Other malignant lymphomas, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.86,malig_myelolymph,"Other malignant lymphomas, intrapelvic lymph nodes"
DIAG-ICD9,202,202.87,malig_myelolymph,"Other malignant lymphomas, spleen"
DIAG-ICD9,202,202.88,malig_myelolymph,"Other malignant lymphomas, lymph nodes of multiple sites"
DIAG-ICD9,202,202.9,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, unspecified site, extranodal and solid organ sites"
DIAG-ICD9,202,202.91,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of head, face, and neck"
DIAG-ICD9,202,202.92,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrathoracic lymph nodes"
DIAG-ICD9,202,202.93,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intra-abdominal lymph nodes"
DIAG-ICD9,202,202.94,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of axilla and upper limb"
DIAG-ICD9,202,202.95,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb"
DIAG-ICD9,202,202.96,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrapelvic lymph nodes"
DIAG-ICD9,202,202.97,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, spleen"
DIAG-ICD9,202,202.98,malig_myelolymph,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of multiple sites"
DIAG-ICD9,203,203,malig_myelolymph,"Multiple myeloma, without mention of having achieved remission"
DIAG-ICD9,203,203.01,malig_myelolymph,"Multiple myeloma, in remission"
DIAG-ICD9,203,203.02,malig_myelolymph,"Multiple myeloma, in relapse"
DIAG-ICD9,203,203.1,malig_myelolymph,"Plasma cell leukemia, without mention of having achieved remission"
DIAG-ICD9,203,203.11,malig_myelolymph,"Plasma cell leukemia, in remission"
DIAG-ICD9,203,203.12,malig_myelolymph,"Plasma cell leukemia, in relapse"
DIAG-ICD9,203,203.8,malig_myelolymph,"Other immunoproliferative neoplasms, without mention of having achieved remission"
DIAG-ICD9,203,203.81,malig_myelolymph,"Other immunoproliferative neoplasms, in remission"
DIAG-ICD9,203,203.82,malig_myelolymph,"Other immunoproliferative neoplasms, in relapse"
DIAG-ICD9,204,204,malig_myelolymph,"Acute lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,204.01,malig_myelolymph,"Acute lymphoid leukemia, in remission"
DIAG-ICD9,204,204.02,malig_myelolymph,"Acute lymphoid leukemia, in relapse"
DIAG-ICD9,204,204.1,malig_myelolymph,"Chronic lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,204.11,malig_myelolymph,"Chronic lymphoid leukemia, in remission"
DIAG-ICD9,204,204.12,malig_myelolymph,"Chronic lymphoid leukemia, in relapse"
DIAG-ICD9,204,204.2,malig_myelolymph,"Subacute lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,204.21,malig_myelolymph,"Subacute lymphoid leukemia, in remission"
DIAG-ICD9,204,204.22,malig_myelolymph,"Subacute lymphoid leukemia, in relapse"
DIAG-ICD9,204,204.8,malig_myelolymph,"Other lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,204.81,malig_myelolymph,"Other lymphoid leukemia, in remission"
DIAG-ICD9,204,204.82,malig_myelolymph,"Other lymphoid leukemia, in relapse"
DIAG-ICD9,204,204.9,malig_myelolymph,"Unspecified lymphoid leukemia, without mention of having achieved remission"
DIAG-ICD9,204,204.91,malig_myelolymph,"Unspecified lymphoid leukemia, in remission"
DIAG-ICD9,204,204.92,malig_myelolymph,"Unspecified lymphoid leukemia, in relapse"
DIAG-ICD9,205,205,malig_myelolymph,"Acute myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,205.01,malig_myelolymph,"Acute myeloid leukemia, in remission"
DIAG-ICD9,205,205.02,malig_myelolymph,"Acute myeloid leukemia, in relapse"
DIAG-ICD9,205,205.1,malig_myelolymph,"Chronic myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,205.11,malig_myelolymph,"Chronic myeloid leukemia, in remission"
DIAG-ICD9,205,205.12,malig_myelolymph,"Chronic myeloid leukemia, in relapse"
DIAG-ICD9,205,205.2,malig_myelolymph,"Subacute myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,205.21,malig_myelolymph,"Subacute myeloid leukemia,in remission"
DIAG-ICD9,205,205.22,malig_myelolymph,"Subacute myeloid leukemia, in relapse"
DIAG-ICD9,205,205.3,malig_myelolymph,"Myeloid sarcoma, without mention of having achieved remission"
DIAG-ICD9,205,205.31,malig_myelolymph,"Myeloid sarcoma, in remission"
DIAG-ICD9,205,205.32,malig_myelolymph,"Myeloid sarcoma, in relapse"
DIAG-ICD9,205,205.8,malig_myelolymph,"Other myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,205.81,malig_myelolymph,"Other myeloid leukemia, in remission"
DIAG-ICD9,205,205.82,malig_myelolymph,"Other myeloid leukemia, in relapse"
DIAG-ICD9,205,205.9,malig_myelolymph,"Unspecified myeloid leukemia, without mention of having achieved remission"
DIAG-ICD9,205,205.91,malig_myelolymph,"Unspecified myeloid leukemia, in remission"
DIAG-ICD9,205,205.92,malig_myelolymph,"Unspecified myeloid leukemia, in relapse"
DIAG-ICD9,206,206,malig_myelolymph,"Acute monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,206.01,malig_myelolymph,"Acute monocytic leukemia,in remission"
DIAG-ICD9,206,206.02,malig_myelolymph,"Acute monocytic leukemia, in relapse"
DIAG-ICD9,206,206.1,malig_myelolymph,"Chronic monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,206.11,malig_myelolymph,"Chronic monocytic leukemia, in remission"
DIAG-ICD9,206,206.12,malig_myelolymph,"Chronic monocytic leukemia, in relapse"
DIAG-ICD9,206,206.2,malig_myelolymph,"Subacute monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,206.21,malig_myelolymph,"Subacute monocytic leukemia, in remission"
DIAG-ICD9,206,206.22,malig_myelolymph,"Subacute monocytic leukemia, in relapse"
DIAG-ICD9,206,206.8,malig_myelolymph,"Other monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,206.81,malig_myelolymph,"Other monocytic leukemia, in remission"
DIAG-ICD9,206,206.82,malig_myelolymph,"Other monocytic leukemia, in relapse"
DIAG-ICD9,206,206.9,malig_myelolymph,"Unspecified monocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,206,206.91,malig_myelolymph,"Unspecified monocytic leukemia, in remission"
DIAG-ICD9,206,206.92,malig_myelolymph,"Unspecified monocytic leukemia, in relapse"
DIAG-ICD9,207,207,malig_myelolymph,"Acute erythremia and erythroleukemia, without mention of having achieved remission"
DIAG-ICD9,207,207.01,malig_myelolymph,"Acute erythremia and erythroleukemia, in remission"
DIAG-ICD9,207,207.02,malig_myelolymph,"Acute erythremia and erythroleukemia, in relapse"
DIAG-ICD9,207,207.1,malig_myelolymph,"Chronic erythremia, without mention of having achieved remission"
DIAG-ICD9,207,207.11,malig_myelolymph,"Chronic erythremia, in remission"
DIAG-ICD9,207,207.12,malig_myelolymph,"Chronic erythremia, in relapse"
DIAG-ICD9,207,207.2,malig_myelolymph,"Megakaryocytic leukemia, without mention of having achieved remission"
DIAG-ICD9,207,207.21,malig_myelolymph,"Megakaryocytic leukemia, in remission"
